Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Failure_Type
M,295.3,305.8,1589,36.2,184,0
L,298.3,308.1,1528,33.9,82,0
H,298.3,309.0,1823,25.9,181,0
M,296.2,307.2,1633,31.1,0,0
M,298.7,310.0,1459,40.2,69,0
L,298.4,309.1,1423,48.0,135,0
L,299.1,308.8,1502,38.3,88,0
M,298.9,310.6,1679,35.8,14,0
L,296.2,306.9,1516,39.1,138,0
M,303.8,312.6,1684,29.3,167,0
M,299.7,310.7,1498,37.8,146,0
H,298.2,310.0,1433,44.2,68,0
L,297.8,309.7,1547,37.3,25,0
L,296.7,307.7,1927,23.9,112,0
L,303.5,311.7,1959,22.3,157,0
L,301.6,310.6,1834,23.5,146,0
L,297.7,308.7,1694,29.1,102,0
L,299.0,310.2,1490,41.1,54,0
L,295.9,306.4,1575,28.5,74,0
L,301.2,310.8,1233,64.6,45,0
L,298.0,307.6,1385,45.0,158,0
L,301.3,310.4,1384,50.1,88,0
L,303.5,311.9,1344,49.3,93,2
L,299.2,308.9,1368,47.2,175,0
L,300.2,311.8,1464,44.5,179,0
M,303.9,313.1,1437,48.3,110,0
M,302.3,311.6,1608,39.9,136,0
M,302.4,311.2,1330,58.6,201,0
L,301.7,310.1,1487,48.0,36,0
M,299.0,310.4,1394,45.2,122,0
L,297.5,308.7,1371,46.5,121,0
L,299.8,309.1,1485,39.9,207,0
L,301.1,311.3,1630,29.5,51,0
L,301.9,310.5,1477,42.4,128,0
L,300.3,311.5,1663,33.6,38,0
H,300.1,311.4,1377,56.7,50,0
L,298.5,309.3,1630,33.3,116,0
H,298.8,308.2,1450,44.7,14,0
L,300.9,311.5,1505,41.1,129,0
M,300.0,310.2,1443,58.7,68,0
H,300.8,311.7,1468,38.7,39,0
M,297.5,308.6,1440,38.8,29,0
H,299.9,309.6,1462,51.0,119,0
M,300.1,311.6,1433,51.4,76,0
L,299.2,308.4,1509,39.4,0,0
L,300.1,311.7,1503,42.6,208,0
L,298.4,309.6,1655,30.2,146,0
L,301.8,309.6,1443,42.7,231,0
M,303.6,312.3,1698,31.3,100,0
M,297.1,308.4,1615,32.6,184,0
M,301.4,310.5,1451,45.3,183,0
L,301.6,310.8,1392,42.4,3,0
L,302.4,311.8,1451,42.0,110,0
L,302.3,311.5,1530,37.8,57,0
M,296.3,307.2,1446,45.9,180,0
M,299.2,310.4,1502,39.8,34,0
L,303.4,311.5,1501,36.2,69,0
M,297.7,309.2,1732,28.8,152,0
M,296.3,307.2,1319,68.3,24,3
M,298.5,309.3,1498,34.6,46,0
M,298.9,308.9,1750,29.9,50,0
L,301.4,310.6,2137,18.0,99,0
M,304.1,313.5,1587,33.6,108,0
L,297.4,308.4,1343,40.0,61,0
L,300.2,309.4,1558,38.3,51,0
M,300.6,309.4,1432,44.2,84,0
L,300.6,312.0,1430,42.7,130,0
M,298.9,308.5,1534,42.9,121,0
M,298.8,308.5,1510,38.7,66,0
L,298.1,308.1,1484,40.4,59,0
L,299.1,308.8,1413,42.1,86,0
M,302.3,310.7,1544,39.7,141,0
M,296.2,307.0,2119,18.3,159,0
L,301.5,311.1,1426,52.1,121,0
M,299.0,308.9,1449,39.6,105,0
L,299.6,309.1,1407,50.6,85,0
L,300.3,311.8,1547,39.7,121,0
L,298.4,309.7,1419,41.3,159,0
L,298.9,308.3,1855,23.8,33,0
L,300.1,310.1,1684,30.8,13,0
M,303.9,312.9,1430,53.5,189,0
M,301.3,310.9,1512,36.9,159,0
L,300.3,311.3,1505,39.6,107,0
L,302.2,311.7,1412,44.5,204,0
L,300.5,311.4,1556,45.3,58,0
L,300.3,311.7,1989,22.3,121,0
L,299.7,309.1,1475,40.0,123,0
M,300.6,310.4,1407,51.1,157,0
L,297.6,307.1,1496,39.2,12,0
L,302.6,311.6,1311,53.2,0,0
M,300.4,311.4,1604,31.7,119,0
L,300.8,310.5,1434,44.5,89,0
M,300.6,309.7,1428,42.6,23,0
L,295.6,306.2,1650,28.2,35,0
L,298.2,307.8,1476,36.8,134,0
L,298.2,308.8,1666,31.5,30,0
M,299.4,308.6,1541,39.1,109,0
M,298.1,308.8,1378,53.5,65,0
M,297.5,309.4,1678,34.4,148,0
L,301.5,310.6,1522,41.0,114,0
M,299.2,309.0,1597,30.3,115,0
M,299.2,308.4,1381,42.5,54,0
L,301.0,310.8,1527,45.3,8,0
M,301.5,310.5,1623,33.5,157,0
L,302.1,311.4,1686,30.9,106,0
L,300.2,311.5,1549,37.2,67,0
M,298.6,310.0,1541,36.9,12,0
L,298.0,307.5,1618,35.2,31,0
L,297.4,308.0,1423,38.0,154,0
L,303.3,311.4,1658,30.5,7,0
L,298.7,309.8,1394,40.3,11,0
L,300.8,310.8,1634,29.2,149,0
M,303.4,312.8,1622,35.1,107,0
L,300.4,311.8,1405,47.9,58,0
L,304.2,313.2,1464,44.9,37,0
H,298.9,309.3,1375,42.7,58,0
H,298.1,308.9,1388,53.5,83,0
L,298.9,308.6,1771,24.1,213,0
M,302.6,311.6,1518,39.0,184,0
L,297.3,308.4,1472,41.3,67,0
M,299.2,308.2,1674,28.2,14,0
L,297.4,308.4,1580,41.2,66,0
M,299.3,310.7,1440,45.5,146,0
L,298.8,309.8,1363,44.0,25,0
L,297.9,309.0,1290,49.8,43,0
L,297.5,308.9,1459,48.5,193,0
H,299.1,310.1,1421,41.2,149,0
M,299.1,308.5,1592,34.2,153,0
L,299.9,309.4,1363,60.9,57,0
L,301.7,310.7,1542,40.0,188,0
L,298.0,308.5,1461,48.0,68,0
M,299.2,308.4,1396,48.7,13,0
L,302.5,310.2,1563,34.8,150,0
L,298.4,309.7,1518,39.8,165,0
M,302.8,311.0,1507,33.4,82,0
M,302.4,310.4,1586,34.3,149,0
L,301.0,311.4,1484,36.2,188,0
L,298.1,308.6,1527,40.2,16,0
L,298.5,310.2,1676,32.7,18,0
L,300.0,311.3,1407,47.3,208,0
L,298.7,309.9,1483,32.8,142,0
H,297.7,307.6,1538,38.3,63,0
L,302.1,310.1,1543,35.8,164,0
L,297.1,308.5,1425,40.0,35,0
L,298.9,309.7,1407,41.9,207,0
L,299.4,310.6,1348,54.5,22,0
M,298.2,309.0,1441,44.2,147,0
L,300.9,310.8,1517,44.3,4,0
M,300.2,309.5,1642,28.8,92,0
H,298.4,308.5,1827,24.3,153,0
M,303.8,312.7,1919,20.2,131,0
L,302.4,311.8,1543,31.1,96,0
M,298.3,307.9,1485,42.0,117,0
L,301.6,309.9,1440,43.4,100,0
L,301.0,311.0,1582,37.5,176,0
M,300.7,310.9,1486,38.9,106,0
L,297.3,308.6,1446,50.1,144,0
L,298.7,310.2,1566,33.1,68,0
M,299.7,309.2,1608,34.4,68,0
L,304.3,313.5,1452,41.5,15,0
M,302.4,311.3,1312,61.5,85,0
L,300.4,311.4,1552,28.8,135,0
L,299.3,308.6,1433,37.7,42,0
M,299.9,311.4,1337,54.8,32,0
M,299.8,309.6,1331,50.2,98,0
L,300.0,309.5,1717,28.3,48,0
M,300.8,312.0,1422,50.7,219,0
L,301.4,310.4,1436,49.7,108,0
M,297.5,309.5,1553,42.4,60,0
L,299.2,308.9,1526,37.9,177,0
L,301.6,310.4,1561,35.3,156,0
L,298.2,308.2,1478,50.1,166,0
L,298.6,309.3,1449,46.5,26,0
L,299.5,310.0,1412,48.9,56,0
M,304.1,313.2,1410,42.4,155,0
M,298.9,309.9,1449,44.1,112,0
L,302.9,311.2,1751,23.8,196,0
L,299.0,310.3,1428,46.3,175,0
L,302.3,311.5,1543,33.1,39,0
L,304.2,313.3,1668,35.7,180,0
L,302.4,311.4,1475,40.4,126,0
M,297.9,309.9,1410,55.4,188,0
M,302.3,311.2,1546,40.0,71,0
M,297.5,308.5,1699,30.1,40,0
L,300.7,310.8,1619,34.9,57,0
M,300.5,311.6,1454,41.4,108,0
L,299.2,308.2,1466,41.3,8,0
L,303.3,311.4,1958,21.5,0,0
L,298.4,307.9,1446,45.3,23,0
L,297.2,308.6,1924,22.1,163,0
L,300.8,312.0,1477,37.3,164,0
L,301.7,311.1,1455,39.8,118,0
L,297.7,309.6,1480,47.9,18,0
L,300.1,311.2,1489,39.1,188,0
L,301.2,310.4,1390,49.9,74,0
M,302.6,312.3,1566,36.6,46,0
M,297.5,309.2,1804,27.4,215,0
L,300.3,309.6,1600,34.6,177,0
L,299.1,308.2,1493,34.9,119,0
M,300.4,312.0,1596,30.4,191,0
M,302.1,311.0,1574,34.1,215,0
L,297.9,309.2,1478,39.7,10,0
L,302.4,310.2,1578,31.2,139,0
L,298.9,308.4,1301,51.1,138,0
M,298.9,310.1,1313,56.8,171,0
M,300.7,311.3,1487,39.8,50,0
H,299.3,308.9,1429,43.0,96,0
M,302.4,311.1,1721,30.1,210,0
L,299.3,310.8,1391,46.9,21,0
L,297.3,307.9,1579,34.4,193,0
M,298.1,307.6,1764,27.7,23,0
L,303.5,312.6,1496,39.0,21,0
L,299.3,310.4,1365,53.9,171,0
L,302.8,310.8,1402,50.5,30,0
L,298.6,308.4,1397,46.4,36,0
M,302.7,312.4,1422,44.5,49,0
L,297.4,308.7,1545,36.9,125,0
L,301.5,310.9,2760,8.0,15,3
M,297.9,307.7,1527,42.8,125,0
M,300.4,311.8,1442,45.1,0,0
L,302.0,311.1,1406,50.5,187,0
M,298.0,308.5,1666,31.0,198,0
L,298.9,310.2,1706,27.6,103,0
L,301.3,310.4,1459,44.7,92,0
L,296.6,307.5,1557,35.1,60,0
L,297.5,308.6,1536,39.0,202,0
L,298.1,308.6,1439,44.9,205,0
L,301.0,312.2,1540,34.1,113,0
M,298.0,309.1,1574,34.8,40,0
M,297.7,308.3,1547,36.8,74,0
M,298.8,309.9,1495,35.2,60,0
L,301.6,310.9,1538,40.4,13,0
L,300.8,311.3,1782,26.9,116,0
